time,open,close
2005/1/4,1260.78,1242.77
2005/1/5,1241.68,1251.94
2005/1/6,1252.49,1239.43
2005/1/7,1239.32,1244.75
2005/1/10,1243.58,1252.4
2005/1/11,1252.71,1257.46
2005/1/12,1257.17,1256.92
2005/1/13,1255.72,1256.31
2005/1/14,1255.87,1245.62
2005/1/17,1235.57,1216.65
2005/1/18,1215.78,1225.45
2005/1/19,1225.08,1218.11
2005/1/20,1213.37,1204.39
2005/1/21,1201.93,1234.48
2005/1/24,1258.02,1255.78
2005/1/25,1252.35,1254.23
2005/1/26,1252.37,1241.96
2005/1/27,1239.58,1225.89
2005/1/28,1223.73,1213.67
2005/1/31,1210.76,1191.82
2005/2/1,1189.5,1188.93
2005/2/2,1189.5,1252.5
2005/2/3,1253.81,1242.31
2005/2/4,1238.61,1269
2005/2/16,1276.02,1278.88
2005/2/17,1280.03,1276.13
2005/2/18,1275.66,1258.97
2005/2/21,1259.53,1284.48
2005/2/22,1285.63,1309.28
2005/2/23,1309.62,1309.47
2005/2/24,1307.04,1309.95
2005/2/25,1311.37,1312.44
2005/2/28,1311.44,1306
2005/3/1,1305.25,1303.41
2005/3/2,1303.31,1287.45
2005/3/3,1285.2,1294.34
2005/3/4,1294.16,1287.71
2005/3/7,1288.41,1293.74
2005/3/8,1298.25,1318.27
2005/3/9,1321.21,1316.79
2005/3/10,1316.9,1286.23
2005/3/11,1284.51,1289.94
2005/3/14,1288.98,1293.5
2005/3/15,1293.13,1269.14
2005/3/16,1267.05,1255.59
2005/3/17,1255.98,1243.47
2005/3/18,1242.45,1227.4
2005/3/21,1226.14,1231.05
2005/3/22,1230.68,1206.92
2005/3/23,1205.76,1201.65
2005/3/24,1200.26,1208.19
2005/3/25,1207.2,1205.63
2005/3/28,1204.85,1200.11
2005/3/29,1199.69,1195.02
2005/3/30,1192.45,1172.57
2005/3/31,1168.83,1181.24
2005/4/1,1180.37,1223.57
2005/4/4,1212.12,1202.97
2005/4/5,1200.69,1191.74
2005/4/6,1191.2,1214.87
2005/4/7,1216.73,1225.49
2005/4/8,1225.05,1248.52
2005/4/11,1248.15,1240.97
2005/4/12,1239.13,1219.51
2005/4/13,1228.97,1248.2
2005/4/14,1252.21,1234.33
2005/4/15,1229.68,1216.96
2005/4/18,1212.39,1197.73
2005/4/19,1196.28,1199.9
2005/4/20,1198.96,1184.19
2005/4/21,1182.2,1172.56
2005/4/22,1171.03,1169.19
2005/4/25,1166.34,1157.97
2005/4/26,1155.64,1165.34
2005/4/27,1165.1,1148.76
2005/4/28,1145.75,1169.12
2005/4/29,1168.33,1159.15
2005/5/9,1160.62,1130.84
2005/5/10,1126.82,1135.56
2005/5/11,1134.6,1124.27
2005/5/12,1122.18,1103.99
2005/5/13,1101.61,1107.63
2005/5/16,1105.4,1095.47
2005/5/17,1091.26,1099.64
2005/5/18,1099.74,1102.96
2005/5/19,1101.75,1103.47
2005/5/20,1100.49,1099.27
2005/5/23,1095.31,1070.84
2005/5/24,1066,1073.85
2005/5/25,1072.52,1072.14
2005/5/26,1071.21,1058.87
2005/5/27,1056.32,1051.95
2005/5/30,1049.72,1060.16
2005/5/31,1061.61,1060.74
2005/6/1,1059.61,1039.19
2005/6/2,1036.73,1016.06
2005/6/3,1013.9,1013.64
2005/6/6,1010.38,1034.38
2005/6/7,1036.62,1030.94
2005/6/8,1044.18,1115.58
2005/6/9,1118.81,1131.05
2005/6/10,1130.55,1108.29
2005/6/13,1105.96,1106.29
2005/6/14,1108.34,1093.46
2005/6/15,1090.46,1072.84
2005/6/16,1071.77,1086.01
2005/6/17,1090.11,1085.61
2005/6/20,1087.85,1115.62
2005/6/21,1115.66,1101.49
2005/6/22,1098.96,1102.03
2005/6/23,1100.56,1093.7
2005/6/24,1091.99,1101.88
2005/6/27,1108.46,1124.64
2005/6/28,1120.94,1108.59
2005/6/29,1111.67,1104.99
2005/6/30,1103.48,1080.94
2005/7/1,1077.31,1055.59
2005/7/4,1050.24,1047.28
2005/7/5,1043.88,1039.04
2005/7/6,1040.7,1033.55
2005/7/7,1033.22,1038.6
2005/7/8,1036.41,1017.98
2005/7/11,1026.79,1011.5
2005/7/12,1007.9,1046.16
2005/7/13,1044.58,1037.39
2005/7/14,1035.53,1040.42
2005/7/15,1039.61,1026.12
2005/7/18,1023.38,1012.1
2005/7/19,1011,1014.36
2005/7/20,1013.98,1021.05
2005/7/21,1020.69,1020.63
2005/7/22,1026.13,1046.32
2005/7/25,1045.27,1045.4
2005/7/26,1046.54,1072.81
2005/7/27,1072.56,1089.91
2005/7/28,1090.11,1086.55
2005/7/29,1084.97,1083.03
2005/8/1,1082.8,1088.95
2005/8/2,1089.53,1104.04
2005/8/3,1106.32,1107.7
2005/8/4,1104.91,1102.59
2005/8/5,1102.62,1128.74
2005/8/8,1131.8,1138.88
2005/8/9,1139.12,1152.53
2005/8/10,1153.21,1165.03
2005/8/11,1165.44,1183.58
2005/8/12,1185.27,1167.91
2005/8/15,1167.03,1187.01
2005/8/16,1188.02,1177.28
2005/8/17,1175.18,1192.83
2005/8/18,1194.44,1148.04
2005/8/19,1144.46,1150.18
2005/8/22,1148.97,1158.6
2005/8/23,1158.83,1149.96
2005/8/24,1151.45,1167.14
2005/8/25,1168,1172.47
2005/8/26,1173.01,1171.86
2005/8/29,1172,1154.43
2005/8/30,1151.62,1146.38
2005/8/31,1145.81,1162.8
2005/9/1,1163.7,1184.93
2005/9/2,1187.06,1188.85
2005/9/5,1189.07,1196.22
2005/9/6,1197.23,1173.32
2005/9/7,1170.77,1194.31
2005/9/8,1196.27,1194.41
2005/9/9,1194.49,1189.63
2005/9/12,1189.75,1188.21
2005/9/13,1188.25,1207.16
2005/9/14,1209.27,1217.26
2005/9/15,1217.52,1217.28
2005/9/16,1217.42,1212.95
2005/9/19,1213.49,1220.63
2005/9/20,1222.26,1212.62
2005/9/21,1210.85,1187.99
2005/9/22,1185.69,1159.96
2005/9/23,1157.3,1151.98
2005/9/26,1150.93,1155.04
2005/9/27,1155.05,1133.24
2005/9/28,1131.32,1131.77
2005/9/29,1134.44,1155.48
2005/9/30,1156.77,1155.61
2005/10/10,1153.67,1138.95
2005/10/11,1137.95,1157.19
2005/10/12,1157.48,1161.85
2005/10/13,1162.02,1152.61
2005/10/14,1152.37,1139.55
2005/10/17,1138.38,1131.38
2005/10/18,1131.26,1141.2
2005/10/19,1141.05,1134.61
2005/10/20,1133.45,1135.95
2005/10/21,1135.61,1141.32
2005/10/24,1141.33,1141.17
2005/10/25,1140.17,1121.92
2005/10/26,1119.43,1097.16
2005/10/27,1093.93,1097.78
2005/10/28,1097.59,1080.87
2005/10/31,1079.04,1092.82
2005/11/1,1091.68,1089.95
2005/11/2,1090,1104.79
2005/11/3,1104.59,1095.27
2005/11/4,1094.26,1100.05
2005/11/7,1099.53,1100.65
2005/11/8,1099.94,1110.15
2005/11/9,1110.55,1108.15
2005/11/10,1106.94,1088.3
2005/11/11,1085.69,1090.19
2005/11/14,1089.56,1088.65
2005/11/15,1088.51,1087.51
2005/11/16,1086.83,1095.89
2005/11/17,1094.88,1095.31
2005/11/18,1095.52,1117
2005/11/21,1117.78,1119.94
2005/11/22,1119.69,1098.65
2005/11/23,1096.56,1105.75
2005/11/24,1105.34,1113.37
2005/11/25,1113.28,1114.92
2005/11/28,1113.83,1110.82
2005/11/29,1109.57,1096.99
2005/11/30,1095.3,1099.26
2005/12/1,1098.78,1098.75
2005/12/2,1099.76,1094.29
2005/12/5,1093.1,1079.2
2005/12/6,1077.58,1087.79
2005/12/7,1087.74,1099.62
2005/12/8,1100.68,1098.32
2005/12/9,1097.52,1113.48
2005/12/12,1115.75,1116.37
2005/12/13,1115.77,1117.85
2005/12/14,1117.47,1125.39
2005/12/15,1125.67,1123.56
2005/12/16,1122.73,1127.51
2005/12/19,1127.84,1131.75
2005/12/20,1131.8,1136.34
2005/12/21,1135.98,1130.76
2005/12/22,1129.56,1135.24
2005/12/23,1135.7,1144.87
2005/12/26,1145.77,1156.82
2005/12/27,1157.49,1154.29
2005/12/28,1155.12,1157.03
2005/12/29,1157.51,1169.86
2005/12/30,1171.58,1161.06
2006/1/4,1163.88,1180.96
2006/1/5,1183.31,1197.27
2006/1/6,1198.81,1209.42
2006/1/9,1210.32,1215.67
2006/1/10,1215.85,1220.62
2006/1/11,1219.81,1211.05
2006/1/12,1208.77,1226.7
2006/1/13,1228.16,1221.46
2006/1/16,1221.11,1202.87
2006/1/17,1200.26,1208.44
2006/1/18,1207.53,1233.35
2006/1/19,1235.08,1251.58
2006/1/20,1251.41,1255.31
2006/1/23,1254.78,1255.77
2006/1/24,1256.01,1252.06
2006/1/25,1251.27,1258.05
2006/2/6,1263,1287.63
2006/2/7,1289.45,1282.1
2006/2/8,1282.12,1290.06
2006/2/9,1288.97,1269.45
2006/2/10,1269.54,1282.66
2006/2/13,1283.78,1279.64
2006/2/14,1279.63,1286.33
2006/2/15,1289.14,1299.17
2006/2/16,1298.5,1270.63
2006/2/17,1269.4,1267.41
2006/2/20,1268.11,1267.54
2006/2/21,1266.64,1288.42
2006/2/22,1288.85,1284.23
2006/2/23,1284.13,1288.85
2006/2/24,1289.43,1296.87
2006/2/27,1297.69,1297.19
2006/2/28,1294.81,1299.03
2006/3/1,1299.15,1306.59
2006/3/2,1306.59,1285.67
2006/3/3,1284.61,1293.3
2006/3/6,1292.75,1288.95
2006/3/7,1288.26,1259.92
2006/3/8,1256.68,1250.38
2006/3/9,1247.46,1245.17
2006/3/10,1245.19,1245.65
2006/3/13,1245.3,1259.67
2006/3/14,1260.42,1259.04
2006/3/15,1259.23,1274.81
2006/3/16,1274.62,1274.19
2006/3/17,1273.01,1269.46
2006/3/20,1269.58,1288.42
2006/3/21,1288.56,1290.39
2006/3/22,1289.46,1296.71
2006/3/23,1296.19,1302.46
2006/3/24,1302.14,1294.7
2006/3/27,1296.07,1295.91
2006/3/28,1295.76,1298.79
2006/3/29,1299.38,1305.57
2006/3/30,1305.84,1294.72
2006/3/31,1291.52,1298.3
2006/4/3,1298.68,1319.47
2006/4/4,1319.84,1329.8
2006/4/5,1330.56,1340.16
2006/4/6,1341.74,1339.74
2006/4/7,1340.65,1342.96
2006/4/10,1344.24,1359.08
2006/4/11,1360.98,1362.23
2006/4/12,1361.74,1360.13
2006/4/13,1359.28,1332.33
2006/4/14,1330.1,1359.54
2006/4/17,1360.64,1378.61
2006/4/18,1379.81,1385.11
2006/4/19,1389.13,1396.7
2006/4/20,1398.1,1385.9
2006/4/21,1385.92,1416.79
2006/4/24,1423.41,1409.79
2006/4/25,1405.9,1399.77
2006/4/26,1399.07,1417.48
2006/4/27,1418.9,1416.73
2006/4/28,1403.52,1440.22
2006/5/8,1446.99,1497.1
2006/5/9,1503.24,1531.16
2006/5/10,1537.56,1545.69
2006/5/11,1547.56,1537.38
2006/5/12,1532.88,1602.83
2006/5/15,1616.26,1664.09
2006/5/16,1658.69,1613.25
2006/5/17,1613.23,1625.15
2006/5/18,1611.66,1617.28
2006/5/19,1620.21,1659.55
2006/5/22,1656.75,1657.69
2006/5/23,1647.96,1604.55
2006/5/24,1609.74,1590.92
2006/5/25,1585.47,1591.42
2006/5/26,1596.57,1613.89
2006/5/29,1622.11,1648.54
2006/5/30,1654.98,1657.29
2006/5/31,1656.28,1641.3
2006/6/1,1639.67,1684.19
2006/6/2,1688.78,1669.4
2006/6/5,1669.24,1684.62
2006/6/6,1681.22,1679.13
2006/6/7,1678.24,1589.55
2006/6/8,1576.43,1591.49
2006/6/9,1583.96,1551.38
2006/6/12,1540.22,1552.8
2006/6/13,1552.1,1548.49
2006/6/14,1540.63,1531.33
2006/6/15,1531.25,1533.98
2006/6/16,1540.19,1574.47
2006/6/19,1559.98,1586.29
2006/6/20,1583.87,1592.33
2006/6/21,1590.61,1598.12
2006/6/22,1593.1,1596.07
2006/6/23,1594.49,1605.71
2006/6/26,1607.79,1633.45
2006/6/27,1636.7,1639.55
2006/6/28,1638.23,1639.29
2006/6/29,1641.93,1671.62
2006/6/30,1679.72,1672.21
2006/7/3,1677.31,1697.28
2006/7/4,1700.32,1681.55
2006/7/5,1755.22,1718.56
2006/7/6,1715.28,1741.47
2006/7/7,1746.52,1730.19
2006/7/10,1730.7,1734.33
2006/7/11,1736.99,1745.81
2006/7/12,1745.88,1740
2006/7/13,1736.21,1655.77
2006/7/14,1641.14,1665.21
2006/7/17,1662.05,1682.89
2006/7/18,1682.36,1684.25
2006/7/19,1681.77,1645.16
2006/7/20,1642.62,1655.12
2006/7/21,1653.81,1665.33
2006/7/24,1648.75,1665.94
2006/7/25,1668.14,1685.46
2006/7/26,1688.54,1686.65
2006/7/27,1685.35,1675.17
2006/7/28,1674.43,1662.03
2006/7/31,1659.54,1612.73
2006/8/1,1619.63,1600.61
2006/8/2,1598.76,1600.87
2006/8/3,1599.75,1601.06
2006/8/4,1601.61,1570.15
2006/8/7,1561.8,1547.44
2006/8/8,1547.9,1580.58
2006/8/9,1581.8,1578.57
2006/8/10,1578.35,1606.07
2006/8/11,1605.6,1605.93
2006/8/14,1605.2,1570.74
2006/8/15,1568.27,1595.66
2006/8/16,1596.06,1616.41
2006/8/17,1612.41,1603.33
2006/8/18,1601.57,1598.02
2006/8/21,1565.46,1601.15
2006/8/22,1601.52,1613.36
2006/8/23,1614.39,1612.4
2006/8/24,1612.7,1623.02
2006/8/25,1622.48,1623.03
2006/8/28,1627.12,1650.44
2006/8/29,1652.67,1651.02
2006/8/30,1648.35,1655.19
2006/8/31,1655.9,1658.64
2006/9/1,1658.66,1636.69
2006/9/4,1635.33,1657.52
2006/9/5,1659.74,1664.08
2006/9/6,1665.13,1672.12
2006/9/7,1683.78,1661.19
2006/9/8,1659.7,1667.98
2006/9/11,1668.16,1674.97
2006/9/12,1675.2,1695.86
2006/9/13,1695.35,1689.39
2006/9/14,1689.63,1689.69
2006/9/15,1689.61,1721.05
2006/9/18,1727.91,1732.99
2006/9/19,1735.3,1735.24
2006/9/20,1733.64,1732.45
2006/9/21,1731.59,1740.9
2006/9/22,1744.61,1725.36
2006/9/25,1722.74,1722.37
2006/9/26,1720.78,1712.64
2006/9/27,1711.51,1725.04
2006/9/28,1725.52,1736.96
2006/9/29,1740.06,1752.42
2006/10/9,1768.14,1785.38
2006/10/10,1784.22,1784.86
2006/10/11,1784.52,1790.1
2006/10/12,1790.63,1778.18
2006/10/13,1776.51,1784.66
2006/10/16,1787.7,1771.3
2006/10/17,1768.63,1763.9
2006/10/18,1762.4,1787.18
2006/10/19,1788.58,1792.25
2006/10/20,1792.6,1790.36
